id,bid_number,bid_date,study_name,status,client,sales_contact,vm_contact,created_at,updated_at,project_requirement,rejection_reason,rejection_comments,created_by,team,methodology
291,33398,"""2025-04-27T18:30:00.000Z""",33398 : LOB Priorities - Global (SO),draft,1,1,7,"""2025-04-28T14:52:48.712Z""","""2025-06-16T07:38:04.602Z""","Sample size: 1,000
Method: 15-min CAWI  
Target respondents: business & IT decision makers (e.g., business development managers, sales, finance, IT, etc.). Manager-lever or higher (manager, director, head of business unit, VP, C-level). Respondents should be knowledgeable about their line of business/department’s needs, priorities, around IT and IT procurement, including cloud solutions.
",,,43,POD 4,online
292,33402,"""2025-04-27T18:30:00.000Z""",33402 : 2025CS180_DIRECTV - New custom study,closure,24,4,1,"""2025-04-28T15:09:01.773Z""","""2025-07-07T12:55:20.855Z""","Loi – 15 mins
Market – USA
●	50/50 Agency/Marketer
●	Linear TV and/or CTV decision-makers
●	Lapsed/Never users of DIRECTV
●	$10M+ Annual media spend (mid/large advertisers)
",,,43,POD 4,online
293,33414,"""2025-05-06T18:30:00.000Z""",33414 - New survey sample request,draft,16,1,10,"""2025-05-07T08:40:23.018Z""","""2025-06-16T07:38:04.602Z""","1.            Adults (18–74) in the U.S. who have personally rented a car domestically within the past 24 months
2.            Adults (18–74) in the U.S. who have personally rented a car domestically within the past 12 months
For both groups: maximum duration of last rental = 60 days
",,,49,POD 2,online
294,33415,"""2025-05-06T18:30:00.000Z""",33415 - Feas check New Mexico + Southern Colorado,draft,19,3,10,"""2025-05-07T14:57:31.562Z""","""2025-06-16T07:38:04.602Z""","Geo: New Mexico + Southern Colorado 
Target Audience:
•	Financial Consumers
•	18+
•	Have a checking or savings account
•	Have used financial products/services in the past 2 years (checking, credit card, investment, etc.)
•	Does not work in Finance, market research
",,,49,POD 2,online
295,33417,"""2025-05-06T18:30:00.000Z""",33417 - Support for B2B enterprise network switching solution survey,closure,11,1,10,"""2025-05-07T15:25:16.770Z""","""2025-07-31T09:57:26.034Z""","targeting buyers of enterprise switching solutions (primarily IT roles with some Finance, Procurement, etc.), ",,,49,POD 2,online
296,33420,"""2025-05-07T18:30:00.000Z""",Request for Quote - Suriname_33420,draft,29,6,9,"""2025-05-08T15:22:39.362Z""","""2025-06-16T07:38:04.602Z""",Business Decision Makers (B2B panel) ,,,48,POD 2,online
297,33353,"""2025-03-27T18:30:00.000Z""",33353 : RFQ for Quant Survey | C5ixBCG,draft,11,5,3,"""2025-05-12T02:13:09.023Z""","""2025-06-16T07:38:04.602Z""","1.	Core segmentation survey in primary markets (Thailand + China)
1.	20-25 minute LOI
2.	N=4,000 total respondents
1.	DOMESTIC SHOPPER: N=2,000 Thai adults 18+
1.	Must be aware of King Power
2.	TOURIST SHOPPER: N=2,000 China adults 18+
1.	Must have visited Thailand in P12M, and shopped/purchased at least 1 item while there 
2.	TOURIST SHOPPER Segment sizing / profiling survey in secondary markets (to be fielded after segments IDed from core survey in Thailand & China)
1.	10 minute LOI (screener, typing tool, and key profiling questions)
2.	N=4,000 
1.	N=1,000 adults 18+ per market (Must have visited Thailand in P12M, and shopped/purchased at least 1 item while there)
1.	Singapore
2.	Malaysia
3.	Vietnam
4.	India

",,,45,POD 1,online
298,33425,"""2025-05-11T18:30:00.000Z""",Bid# 33425-GPR2505004_Costing_Qualitative_Industrial PCs,draft,33,11,3,"""2025-05-12T04:18:02.587Z""","""2025-06-16T07:38:04.602Z""","We have a new opportunity to conduct a qualitative IDI in India for our client Intel (For Internal reference only), below mentioned are the specs for the same. We need the cost and feasibility for the same at the earliest. Please reach out to qualitative specialists in B2B for Eg. NewtonX, HBG and GLG. 
•	Market - India (no quotas by cities, natural fallout)
•	Industry Verticals - Primarily - Manufacturing, Automotive, Energy, Utilities, Oil & Gas, Healthcare, Food & Beverage - try to diversify the interviews. 
•	Target Audience -  3 different groups - 
o	Buyers :- Companies who are currently using Industrial PCs, need to reach out to C-level executives ( CIOs, CTOs, COOs, Operations manager, Operations department sr. Level - manager and above)
o	Suppliers :- The OEMs, system integrators, distributors, and software providers,  need to reach out to C-level executives ( CIOs, CTOs, COOs, Operations manager, Operations department sr. Level - manager and above) . Examples for company names are provided below for quick reference, we can reach out to other companies as well.
i.	Key OEMs - Advantech, Beckhoff Automation, Kontron, Axiomtek, IEI Integration Corporation, Siemens, Schneider Electric, Mitsubishi Electric, Emerson, AAEON Technology, Arista Corporation, Barco NV, Computer Dynamics A Division of CIMTEC Automation LL, Litemax, National Instruments Corporation, Pepperl+Fuchs GmbH, RGB Spectrum, Rockwell Automation, Sparton Corporation, Teguar Computers, Prodot, INP Computers, and Zetwerk, Avza Tech. 
ii.	System Integrators - Concord Technologies, Dynalog India, Moxa, Aeron Systems, REHAU India, Lubi Electronics, and Renu Electronics, Technics Infosoultions
iii.	Distributors/Resellers – Lubi Electronics, Dynalog India, Adaptek Automation Technology, IPCS, Technics Infosoultions, AVIHS Technologies, Alltronix. IndiaMART and Trade India are online sellers 
iv.	Software Providers – Microsoft, Rockwell, SAP, Linux, QNX, VxWorks, Siemens, ABB, Emerson Electric, Yokogawa Electric, Omron, and Inductive Automation., Honeywell, DEFT Industrial Automation, ACMAS Technologies, IndustLabs, and Viprush Technologies
v.	Apart from this list, we have many more, the above provided are just some key players in the Industrial PC OEMs
o	End User - Operators and technicians in factory or automation environment who are using these Industrial PCs on an everyday basis
•	Sample Size  - 3 IDIs for each TG (Buyers, Suppliers and End users), a total of 9 IDIs
•	LOI - 60 minutes 
•	Mode - Online IDIs (Teams/Zoom)
•	No quotas, however, suggest to diversify the sample by industry. 
Please provide us the cost for Recruitment, Moderation and Transcriptions. It is better, if we can get the cost for Moderation under optional costs.
",,,45,POD 1,online
299,33387,"""2025-04-21T18:30:00.000Z""",Mystery Shopping surveys enquiry,draft,12,5,3,"""2025-05-12T06:39:18.629Z""","""2025-06-16T07:38:04.602Z""","Nature of study: 
Store audit/mystery shop, which includes:
The process will be like this: 5 mins of observation of the store(brands available, placement, POSM, etc.) and take pictures of the category shelf, how things are kept how clean the store is etc. the other part is the interview withPharmacist posing as a consumer and asking the pharmacist for info on the category, recommended brands etc  which is only for 5 mins. So essentially the LOI for pharmacists will be 10 mins max.
Validation: They want us to make sure the pharmacists are genuine; hence they want to know what the quality checks and proofs will be provided are and vetting we will do to make sure they are real.
Other criteria:
•	Pharmacies covered should be a good mix of Chain pharmacies/modern pharmacies vs. Independent pharmacies
•	for the 50% of independent store owners, they want a healthy mix of stores outside doctor’s clinics (not inside hospitals) and independent standalone stores.
•	No list provided, the local team can pick the pharmacies, but it should be geographically well spread (e.g. good coverage of business district vs hinterland areas)
•	For Chain pharmacies, we would like to have a minimum quota of n=30 per chain 
•	We would like to spread the pharmacies in 2 regions for each market
•	A good mix of regions across geos
",,,45,POD 1,online
300,33386,"""2025-04-21T18:30:00.000Z""",Lynk&Co concept testing,draft,6,3,5,"""2025-05-12T08:02:54.535Z""","""2025-06-16T07:38:04.602Z""","1)Car owners & intenders (intend to buy new cars in the next year), open explorers who are more open to new brands
2) Car owners (past 1 year car buyer), open explorers who are more open to new brands",,,47,POD 1,online
301,33295,"""2025-04-09T18:30:00.000Z""",QSR Indonesia,draft,9,3,4,"""2025-05-12T08:46:43.448Z""","""2025-06-16T07:38:04.602Z""","1) QSR goers
2) biscuits and crackers or wafers buyers or non rejectors
",,,46,POD 1,online
302,33373,"""2025-04-09T18:30:00.000Z""",Food categories in KSA,draft,8,3,6,"""2025-05-12T08:53:33.040Z""","""2025-06-16T07:38:04.602Z""","Sample design:
•	Purchaser (B2C) of categories such as Pasta, Confectionary, Flour, Grains (Rice, Oat, etc.), Breakfast Cereals- should have purchased the category in the last 1-month. 
•	Sample split by gender:
	Female: 50% - 55%
	Male: 45% - 50% 
•	By Nationality
	Saudis: 70%
	Arab: 12% - 15%
	Asian: 10% - 12%
	Western Expats: 3% - 5%
•	By Age
	16 – 19 YO: 3% - 5%
	20 – 24 YO: 15% - 20%
	25 – 30 YO: 15% - 20%
	31 – 40 YO: 15% - 20%
	41 – 50 YO: 15% - 20%
	51 – 60 YO: 10% - 15%
	60+ YO: 3% - 5%
•	Sample split by affluence (monthly HH income):
	SAR 5,000 – 10,000: 10%
	SAR 10,001 – 20,000: 25%
	SAR 20,001 – 35,000: 25%
	SAR 35,001 – 50,000: 20%
	SAR 50,001 – 65,000: 10%
	Above SAR 65,000: 10%
•	Sample split by province (monthly HH income):
	SAR 5,000 – 10,000: 10%
	SAR 10,001 – 20,000: 25%
	SAR 20,001 – 35,000: 25%
	SAR 35,001 – 50,000: 20%
	SAR 50,001 – 65,000: 10%
	Above SAR 65,000: 10%
•	By Region / Provinces
	Riyadh: 25%
	Jeddah + Makkah: 15%
	Madinah: 5%
	Eastern Province: 15%
	Qassim: 5%
	Hail + Tabuk + Jouf + Northern Region: 20%
	Najran + Jazan + Asir + Baha: 15%
",,,44,POD 1,online
303,33405,"""2025-05-12T18:30:00.000Z""","33405 : Brokers, Trusts and RIAs",draft,15,3,1,"""2025-05-13T08:13:28.649Z""","""2025-06-16T07:38:04.602Z""","LOI – 15 Mins
N – TBD based on feasibility, but likely N 450, but let us know your max for each group.
",,,43,POD 4,online
304,33411,"""2025-05-12T18:30:00.000Z""",33411 : AI in Healthcare - Global (FS/SO),draft,1,1,1,"""2025-05-13T08:22:11.005Z""","""2025-06-16T07:38:04.602Z""","•	Respondent profile/requirements: Technology decision makers, responsible for AI technology investments. IT manager+
•	Company size: 250+ employees
•	Geographic scope (countries/translations required): US UK Germany (German translation) Denmark (Danish required?) Sweden (Swedish required?)
•	Verticals: This would be healthcare provider-specific research (doctor offices, clinics hospitals, etc.)
•	Desired sample size: max feasibility per country
•	LOI: 15 minutes
",,,43,POD 4,online
305,33423,"""2025-05-12T18:30:00.000Z""",33423 -  Monigle - New Costing/Feasibility Request ,draft,19,3,10,"""2025-05-13T08:31:21.285Z""","""2025-06-16T07:38:04.602Z""","•	LOI : 15 minute survey 
•	IR: 20%, 40% and 60%
•	Sample Size: 600
•	25 years or older 
•	Doesn't work in healthcare and market research 
•	Has health insurance 
",,,49,POD 2,online
324,33419,"""2025-05-12T18:30:00.000Z""", 33419 : Bid salesforce quick turn,draft,13,1,1,"""2025-05-13T08:40:55.618Z""","""2025-06-16T07:38:04.602Z""","•	Bump LOI up to 10min for all options
•	Request to swap out CN for MX in option 2
•	SMB OK to add in for all options, but cap at 20% of sample (this should help with feasibility) 
•	Request for a third, regional option. See below
•	Option 3: Larger scope with regional segment options (10min)
o	n= 400
o	LOI 10 min
o	Director+
o	NAMER (US, Canada) (n=100), EMEA (n=100), APAC (n=100), LATAM (n=100)
o	Departments: Sales (n=50), service (n=50), marketing (n=50), commercial operations
o	Industry: Life Sciences (Pharma, biotech, med device, CRO)
o	Company size: all sizes but mostly Commercial and Enterprise
	CAP SMB at 20% of full sample
",,,43,POD 4,online
325,33424,"""2025-05-12T18:30:00.000Z""", 33424 : New Project,draft,14,3,1,"""2025-05-13T08:54:34.450Z""","""2025-06-16T07:38:04.602Z""","1.	Creators/Influencers who Use Facebook :
a.	Description: verifiable influencers who use Facebook for Creator/Influencer work. 
b.	Panel size: ~1000 (long-term)
c.	Other criteria: Diverse in the number of followers they have.
2.	Gen Z Audience (two examples) :
a.	Audience 1: 
i.	Description: General Gen Z audience who use social media. 
ii.	Panel size: No specific criteria. N=3,000 .
b.	Audience 2:
i.	Description: Gen Z who have interest in entrepreneurship/side hustles (e.g., Etsy, eBay, drop shipping, anything that would require them to ship products)
ii.	We will need to understand max feasibility here, N=1000
",,,43,POD 4,online
327,33426,"""2025-05-12T18:30:00.000Z""",33426 : 2025CS265 Cognitiv.ai Brand Tracker W1 - New Custom Study,closure,24,4,1,"""2025-05-13T09:00:53.559Z""","""2025-07-07T12:55:28.029Z""","US respondents with the additional qualifications:
15 mins LOI
•              Employed in the US 
•              Manager+ Job Title 
•              Advertising/Marketing Involvement 
•              Qualifying company type – Agency/Marketer 50/50
•              Qualifying Digital Decision-making Responsibility 
•              Involved in DSP, Contextual Targeting or AI Tool DM-ing/evaluation 
",,,43,POD 4,online
332,33427,"""2025-05-12T18:30:00.000Z""",33427 : 2025SS160_PODCAST  Bid ID - 31170,ready_for_invoice,24,4,1,"""2025-05-13T09:11:56.731Z""","""2025-07-10T10:21:14.058Z""","Can you please share the feasibility, since the specifications have changed from the past waves of this study.",,,43,POD 4,online
334,33428,"""2025-05-13T18:30:00.000Z""",33428 : Information Management - Global (SO),draft,1,1,7,"""2025-05-14T10:03:33.378Z""","""2025-06-16T07:38:04.602Z""","•	Respondent profile/requirements: 80% senior IT management, 20% senior software development management (both director+), knowledgeable about their organization’s approach to information/data management",,,43,POD 4,online
337,33443,"""2025-05-22T18:30:00.000Z""",33443: BCG: Automotive Shop Employees,draft,11,7,9,"""2025-05-23T09:58:40.424Z""","""2025-06-16T07:38:04.602Z""","Automotive shop employees,Spanish-speaking respondents
",,,48,POD 2,online
340,33450,"""2025-03-26T18:30:00.000Z""",Hajj and Umrah visitors,draft,8,11,4,"""2025-05-27T08:57:54.821Z""","""2025-06-16T07:38:04.602Z""","Quantitative research 
Market – KSA, Indonesia, Pakistan, and India
Sample (n=1500)
•	ALL respondents will be Muslims i.e., followers of the Islamic faith 
•	ALL respondents will have either visited Makkah and Madinah for the purpose of Hajj & Umrah in the last 2-years, or have reservation for visiting in 2025 (International Markets), or plan to visit in the next 1 year (KSA residents)
•	Sample split by market
o	KSA (N=500)
o	Indonesia (n=350)
o	Pakistan (n=300)
o	India (n=350)
•	Soft quotas by gender 
o	Male: 55% - 65%
o	Female: 35% - 45%
•	In addition there will be soft quotas by affluence (MHI), age (incl. 16-19 year olds), key cities, etc.
 
Length of survey is 20 mins; and the survey will be offered in Arabic, English, Bahasa, and Urdu 
 
We will require cluster analysis / other analytical support to run customer segmentation 
 
Qualitative focus groups x 3 in KSA (virtual). 
Each focus will have up to 5 participants. The sample profile will be determined based on segments emerging from the Quant study. having said that  
ALL respondents will be Muslims i.e., followers of the Islamic faith 
ALL respondents will have either visited Makkah and Madinah for the purpose of Hajj & Umrah in the last 2-years, or plan to visit in the next 1 year (KSA residents)
FGDs will be 90 mins long and will be conducted in Arabic

",,,46,POD 1,online
341,33445,"""2025-05-18T18:30:00.000Z""",Consumer perception of healthcare brands,draft,11,5,5,"""2025-05-27T09:42:02.978Z""","""2025-06-16T07:38:04.602Z""","•	Geographies: UAE, KSA, India, Malaysia, Indonesia, Singapore, Vietnam
•	Objective: Assess consumer habits regarding healthcare provider services
o	Criteria for choosing healthcare providers
o	Perception of brands (local and international)
o	Medical tourism habits
•	We would mainly apply geographic cuts for the larger countries (especially India, KSA, and Indonesia)
•	Target panel:
o	Upper middle class and above
o	Main cities
o	Other demographics as per national representation
•	Panel size: I’d estimate between 2,000 and 3,000 respondents, assuming an average of 2–3 cuts per country for the larger markets
•	LOI: 15-20 minutes
",,,47,POD 1,online
345,33431,"""2025-05-13T18:30:00.000Z""",33431-Potential Qual Interview Recruitment,draft,10,9,4,"""2025-05-28T00:42:33.232Z""","""2025-06-16T07:38:04.602Z""","Format:
•	Online video interviews and focus groups (hosted via Microsoft Teams or equivalent). 
•	Landor can provide the platform to utilize (Microsoft Teams) 
•	All sessions will be recorded
•	Landor will conduct and moderate the interviews—no moderation support needed
Session Structure:
•	Total of 18 participants (see breakdown below)
•	~50% one-on-one interviews (30 minutes)
•	~50% small focus groups (3–5 participants per group, 60 minutes)
 
Timing:
•	Interviews can begin immediately. 
•	Ideally they are complete by Friday May 30th. This is a tight timeline so will be an important consideration here. 
 
 
Experienced Talent in Quant Trading or AI (n = 18)
Professionals with experience at elite quantitative trading firms or AI companies. All participants must be aware of HRT, even if not deeply familiar.
Key Criteria:
•	Geographic split: 13 from US/Canada, 5 from APAC (Singapore/China)
•	Work history:
o	75%–100% must currently or previously work at a top-tier competitor or aspirational brand. Noted below. 
o	Preference for Tier 1 brands; Tier 2 can be considered with approval
•	Roles of interest:
o	Quant traders, analysts, researchers
o	Software engineers with experience in trading infrastructure, low-latency systems, or financial modeling (must know C++ and Python)
•	Employment status: Employed, between roles, or actively exploring new opportunities
•	Degree: All have an undersgrad, Masters, or PhD degree in Quantitative disciplines from a top global university. Disciplines include Computer science, Mathematics, Physics, or Statistics. Top Global universities include and are specifically limited to MIT, Stanford, Harvard, CalTech, Princeton, Carnegie Mellon, Berkeley, Waterloo,  National University of Singapore, Tsinghua, Peking, IIT Delhi, IIT Bombay, Cambridge, Oxford, Imperial. 
•	Familiarity Requirements:
o	100% must be aware of HRT
o	Quant professionals must understand the trading space
o	AI professionals don’t need deep familiarity with quant trading
•	Exclusions:
o	Front-end or web developers
o	Former HRT employees
o	Anyone previously rejected by HRT
Company Targets:
•	Quant – Tier 1: Jane Street, Citadel Securities, Two Sigma, D.E. Shaw, Jump, Millennium, IMC, XTX, Optiver, SIG, etc.
•	Quant – Tier 2: Trexquant, Vatic Labs, WorldQuant, Engineers Gate, etc.
•	AI: OpenAI, DeepMind, Anthropic, xAI, Thinking Lab, Perplexity, DESRES, Scale AI, SambaNova, etc.
 
 
",,,46,POD 1,online
346,32423,"""2025-05-27T18:30:00.000Z""", Telecom in KAZAKHSTAN,draft,8,9,5,"""2025-05-28T01:06:21.305Z""","""2025-06-16T07:38:04.602Z""","Quantitative 
•         B2C: 500 – Users of mobile or fixed telephone, internet / wifi, TV, services
Geographic and demographically representative of the market 
•         B2B: 150 - Users of mobile or fixed telephone, internet / wifi, TV, services (We need Manager +)
o   Corporates (employees > 100): 50
o   SMEs (employees < 100): 100
o   The respondents need to be decision makers on the procurement of telecom services. These could include Owner, CEO/MD/GM, VP or Director or Procurement / Finance / Admin or Operations / HR.  
•         The survey will be 20 mins long, and will be offered in Kazakh and English

Qualitative FGDs: 3 online / virtual FGDs (B2C – similar profile as highlighted above) comprising of 5 participants each. Geographic and demographically representative of the market 

o	Each FGD will be 90 mins in duration
o	The sessions will be done in the local language. 
o	The research partner will be responsible for recruitment, moderation, English transcription, and reporting (PPT).  
",,,47,POD 1,online
348,33389,"""2025-04-21T18:30:00.000Z""", Airline Project - Quotation Request,draft,6,3,4,"""2025-05-28T01:34:47.479Z""","""2025-06-16T07:38:04.602Z""","Target Countries
1.	United States, United Kingdom, Singapore, China
 
Survey Respondents
1.	Residents of each country who have visited Japan within the past 4 years or who are considering visiting Japan in the future
Segments (400 respondents per segment to ensure statistical significance)
= 4 countries x 3 segments x 400 = 4,800 sample size
1.	Primary Target: GenZY (15-44 years old) who categorize air travel as either ""Functional"" or ""Emotional""
2.	Secondary Target: GenZY (15-44 years old) who categorize air travel as ""Minimal""
3.	Tertiary Target: GenX (45-59 years old) who categorize air travel as ""Minimal,"" ""Functional,"" or ""Emotional""
 
Definitions
Generation Definitions:
1.	GenZ: Born 1996-2010 (15-29 years old)
2.	GenY: Born 1981-1995 (30-44 years old)
3.	GenX: Born 1966-1980 (45-59 years old)
 
Aviation Usage Categories:
1.	Minimal (Merely a means of transportation): Those who view air travel as simply a means of getting from one place to another. They don't seek added value and choose airlines based on routes, schedules, and prices.
2.	Functional (A valuable space): Those who view aircraft as a valuable space. They prioritize specific functionalities (seat comfort, in-flight entertainment, services, etc.) depending on the situation when choosing airlines.
3.	Emotional (Part of the journey): Those who consider time spent on an aircraft as part of the travel experience. They seek emotional value in the airplane space itself and choose airlines that provide excitement and enjoyable experiences.
 
Research Objective
To verify whether the current brand concept evokes ""trust, appeal, empathy, and positive emotions"" among the target audiences defined in the marketing strategy, aligns with the group management vision, and can serve as an element that leads to ""differentiation from competitors"" and ""preference/usage intention.""
Survey Content
Comparative research of ANA, JAL, SQ, CX, and LH on the following items:
1.	Awareness, understanding, and empathy toward the brand concept
2.	Connection between the brand concept and new management vision
3.	Emotions and associations evoked by the brand concept
4.	Consistency between the brand concept and customer perceptions of the target company
5.	Relationship between brand concept and loyalty
6.	Relationship between brand concept and ""differentiation from competitors"" and ""preference/usage intention""
 
Deliverables and Schedule
1.	Delivery deadline: May 30, 2025
2.	Deliverables:
1.	Raw data of survey results (Excel format)
2.	Cross-tabulation tables as specified by our company

",,,46,POD 1,online
349,33371,"""2025-04-07T18:30:00.000Z""",IDIs in Europe,draft,11,5,4,"""2025-05-28T03:12:42.311Z""","""2025-06-16T07:38:04.602Z""","Project Scope:
•	Total Interviews: 45
•	Segments: 
-	Investors/Businessperson
-	Job Seekers
-	Students
•	5 Target countries: UK, Germany, France, Italy, and Spain
•	Interviews per Segment per Country: 3
 
Target Profiles:
•	Investors/Businesspersons: Interested in investing and living abroad
•	Job Seekers: Open to working abroad
•	Students: Considering studying abroad
Screening Criteria:
•	Must be willing to invest, work, or study outside their home country
•	For the Investor and Job Seeker segments, one respondent per country should have a family and be open to relocating their children
Logistics:
•	Interview duration: ~60 minutes
•	Required languages for translation: German, French, Italian, and Spanish


",,,46,POD 1,online
350,33365,"""2025-04-06T18:30:00.000Z""",33365-Circle K,draft,9,3,4,"""2025-05-28T04:09:51.320Z""","""2025-06-16T07:38:04.602Z""","– a global convenience/petrol station chain with key markets in USA (56% of revenue) and Canada (over 10% of revenue). Up to 20 brands per market with a mix of gas stations, convenience brands and maybe 2-3 QSR brands, so I think LOI could be under 15 minutes. 

Please let me know how price sensitive LOI is as we are competing against Snap BAV, a quick and dirty consumer survey conducted by BAV group themselves. We can potentially cut it shorter to remain competitive.

Can we provide FW cost for 1 market (USA only), 4 markets (USA, Canada, Poland and one other market with similar penetration) and 8 markets (USA, Canada, Poland and 5 other markets with similar penetration)?

•	The target audience (general population or specific segment)?  General population is fine
•	Whether the survey will cover only Circle K brands or competitors too?  Circle K brand and competitors
•	The desired number of respondents per market?  n=400 for each market. For USA can we have the option of n=800 also
",,,46,POD 1,online
351,33361,"""2025-04-02T18:30:00.000Z""",Residents and B2B Surveys in Abu Dhabi,draft,8,3,3,"""2025-05-28T09:02:26.045Z""","""2025-06-16T07:38:04.602Z""","Market: Emirates of Abu Dhabi 
 
Sample size: 1700
 
Sample mix:
B2C: 1500
Audience profile: ALL respondents will be residents of Abu Dhabi 
People of determination (n=150)
Break-up by age (+/- 10% flex):
< 21 years (n=250)
21 – 30 years (n=250)
31 – 40 years (n=250)
41 – 50 years (n=250)
51 – 60 years (n=250)
> 60 years (n=250)
Break-up by nationality (+/- 10% flex):
Emiratis (n=800)
Expats (n=700)
South Asian (n=250)
Arab (n=250)
Western (n=50)
Others (n=100)
Break-up by affluence - monthly personal HH income (+/- 10% flex):
< AED 5000 (n=200)
AED 5,001 – 10,000 (n=200)
AED 10,001 – 20,000 (n=200)
AED 20,001 – 35,000 (n=200)
AED 35,001 – 50,000 (n=200)
AED 50,001 – 65,000 (n=200)
AED 65,001 – 80,000 (n=150)
> AED 80,000 (n=150)
B2B (n=200)
ALL organisations / entities need to be operating in the Emirates of Abu Dhabi. 
The respondents need to be key decision makers on behalf of their organisations
NGOs (n=30)
Private Businesses (n=140)
Small enterprises i.e., < 15 employees (n=50)
Medium enterprises i.e., between 16 – 100 employees (n=50)
Large enterprises >100 employees (n=40)
Government entities (n=30)
",,,45,POD 1,online
353,33357,"""2025-05-27T18:30:00.000Z""",Indo Quant Study BCG,draft,11,5,4,"""2025-05-28T09:50:43.186Z""","""2025-06-16T07:38:04.602Z""","Base size: N= 600 per city (total of N=1800 for 3 cities)

Target respondents:

Customers: 50% Grab customers (n=150): 50% Gojek customers (N=150)
Good mix across age segments
Good mix across income levels
Merchants: 50% Grab merchants (n=150): 50% Gojek merchants (N=150)
Good mix across age segments
Methodology: Online survey
",,,46,POD 1,online
354,33352,"""2025-03-26T18:30:00.000Z""",Online surveys with people watching content,draft,9,9,4,"""2025-05-28T10:24:28.728Z""","""2025-06-16T07:38:04.602Z""","Project name: Concept Test Quarks

Coverage & Sample criteria
Germany, German
Age 18+
Natrep as per Age, gender, Region (16 Bundesländer = Federal states)

Screener Criteria:
People who are interested in watching non-fictional content on TV or Audio, incouding streaming services (thing Knowledge content / Documentaries). 

Sample size:
N=200 per Federal state
Needs to be backweighted for regional distribution
Please provide info how the mgmt costs (project management, tabulation,…) will develop if the sample changes to n=250 or n=300 per federal state, so I can calculate these options

",,,46,POD 1,online
355,33347,"""2025-03-24T18:30:00.000Z""",Online surveys with Gen Pop,draft,12,5,4,"""2025-05-29T02:43:09.759Z""","""2025-06-16T07:38:04.602Z""","Study: 
Online survey in 5 markets (SG, ID, MY, TH, and VN)
~22 mins online survey

Markets & sample:
n= 1000 per market, total n=5,000
Multiple cities to be covered across these 4 markets: MY, ID, TH, VN 

Target:
Gen pop adults 18 to 65 yrs
Mix of male/ female; Low/mid/high HH income
",,,46,POD 1,online
356,33340,"""2025-05-29T18:30:00.000Z""",Hubbell (take 2) & Ventev deep-dive,draft,9,3,4,"""2025-06-02T01:35:46.063Z""","""2025-06-16T07:38:04.602Z""","Scope 1 – repeat of 2022 Hubbell study
Please provide an updated proposal for replicating the brand equity study we conducted in 2022 – see attached the final q’re which include detailed sample definition in the upfront pages.

Scope 2 – Ventev deep-dive 

Audience:
•	B2B decision-makers / influencers related to purchasing connectivity (wifi and wireless) and power infrastructure solutions for installation across multiple indoor / outdoor settings:
o	Utilities / data centres
o	Public spaces (healthcare, education, government etc.)
o	Corporate offices
o	Retail / Hospitality spaces
o	Events
o	Manufacturing facilities (warehouses, logistics centres)
•	Wholesalers / Distributors – decision-makers / influencers related to the purchase of connectivity (wifi and wireless) and power infrastructure solutions for sale to the trade/B2B buyers

Product / solutions mix (please also see attached overview shared by client):
•	Wi-fi antennas
•	Indoor / outdoor enclosures
•	Mounting solutions
•	Wireless / integrated power and connectivity solutions
•	Cable assembly connectors

Market – US
LOI – 20 mins
Sample size – please provide max feasibility across B2B panels and custom recruitment option
",,,46,POD 1,online
357,33339,"""2025-03-20T18:30:00.000Z""",Country-coverage question,draft,9,3,3,"""2025-06-02T02:32:49.131Z""","""2025-06-16T07:38:04.602Z""","B2C only: General Population with sub-definitions underneath. N = 1,000 per market. 
For each market, follow the audience groups here…
1.	N = 300 General Population
2.	N = 300 Crypto-curious consumers (do not need to have bought or traded cryptocurrencies. Could perceivably purchase crypto in the next 3-5 years.)
3.	N = 300 Crypto-novices (those who have at least traded crypto currency once) 
4.	N=100 Readers of one of the Crypto Platform(Leading news platform specializing in cryptocurrency, digital assets, and blockchain technology).
",,,45,POD 1,online
359,33429,"""2025-06-02T18:30:00.000Z""",33429 : 2024CS535_NETFLIX Q2 2025 CA W1 - New Bid request,closure,24,4,1,"""2025-06-03T07:15:07.287Z""","""2025-07-07T13:13:24.004Z""","o	LOI – 15 minutes
o	Field time – May 27 - June 4th
●	Involved in media decision-making
○	All must currently buy broadcast/cable TV, advanced TV,  CTV/streaming TV, or digital video
●	Company type mix:
○	60/40 agency/marketer
●	Minimum media spend:
○	$5M CA
●	Other classification - Representative mix across:
○	Market categories
○	Campaign goals (upper/lower/mid)
○	Campaign focus (brand/performance/mix)
○	Content categories
○	Job level

",,,43,POD 4,online
360,33430,"""2025-06-02T18:30:00.000Z""",33430 : RFP Dentist qual,draft,26,7,1,"""2025-06-03T07:53:44.252Z""","""2025-06-16T07:38:04.602Z""","Looking to speak (60-minute) with 5-7 dentists per market:  India, Philippines, Thailand, Malaysia, China, Australia.",,,43,POD 4,online
